名称,认定时间
海淀海外人才创业园,1997年10月
中关村国际孵化园海外人才创业园,2000年12月
中国北京（望京）海外人才创业园,2003年4月
中关村软件园海外人才创业园,2004年1月
中关村生命科学园海外人才创业园,2004年3月
丰台园海外人才创业园,2004年4月
北京大学海外人才创业园,2002年9月
清华大学海外人才创业园,2002年12月
北京航空航天大学海外人才创业园,2003年4月
北京科技大学海外人才创业园,2003年6月
北京理工大学海外人才创业园,2003年7月
北京邮电大学海外人才创业园,2003年12月
中国科学院中科海外人才创业园,2005年4月
中国农业大学海外人才创业园,2005年8月
汇龙森海外人才创业园,2005年5月
北京工业大学海外人才创业园,2005年12月
中国人民大学海外人才创业园,2005年12月
北京师范大学海外人才创业园,2005年12月
中关村集成电路海外人才创业园,2006年1月
石景山海外人才创业园,2006年1月
中央财经大学海外人才创业园,2006年12月
中国政法大学海外人才创业园,2007年5月
北京交通大学海外人才创业园,2007年7月
中国矿业大学海外人才创业园,2007年7月
首都师范大学海外人才创业园,2007年9月
华北电力大学海外人才创业园,2008年10月
北京化工大学海外人才创业园,2009年3月
中关村大兴生物医药产业业基地海外人才创业园,2009年12月
北京瀚海智业海外人才创业园,2009年7月
中关村昌平园海外人才创业园,2012年3月
中关村博雅海外人才创业园,2012年1月
中关村雍和航星海外人才创业园,2012年1月
中关村798创意产业海外人才创业园,2012年1月
中关村京仪海外人才创业园,2012年12月
京泰香港海外人才创业园,2015年12月
北京服装学院海外人才创业园,2015年12月
中关村普天海外人才创业园,2015年12月
中关村海聚博源海外人才创业园,2017年11月
中关村智汇柠檬孵化器海外人才创业园,2017年11月
中关村腾讯海外人才创业园,2017年11月
中关村禾芫海外人才创业园,2017年12月
中关村亦庄生物医药海外人才创业园,2017年12月
京西创客工场海外人才创业园,2019年12月
全球创新社区海外人才创业园,2019年12月
北大医疗产业园海外人才创业园,2019年12月
,
,
,
