密云区卫生健康委员会医疗机构行政处罚信息（2024年1月1日-2024年6月19日）,Unnamed: 1,Unnamed: 2,Unnamed: 3
单位名称：北京市密云区卫生健康委员会,,,
编号,机构名称,行政处罚决定书文号,处罚名称
1,北京市密云区太师屯镇葡萄园村正阳村卫生室,密2024060569,未对医疗废物进行登记案　
2,北京明辉欣雅服装有限公司明辉口腔诊所,密2024060597,贮存设施或者设备不符合卫生要求案
3,北京博仁康祥企业管理有限公司太师屯康祥口腔诊所,密2024060441,贮存设施或者设备不符合卫生要求案
4,北京蓝天博爱商贸有限公司国华康民诊所,密2024052036,未将医疗废物按类别分置于专用包装物案
5,北京蓝天博爱商贸有限公司国华康民诊所,密2024052028,医疗机构未按本办法规定执行抗菌药物分级管理逾期不改案
6,北京德固口腔诊所,密2024051767,未对医疗废物进行登记的　
7,北京雀跃商贸有限公司乐康园诊所,京密卫医罚〔2024〕008号,使用未取得抗菌药物处方权的医师案
8,北京日月甜宇米业有限公司和平安康口腔诊所,密2024051581,未对医疗废物进行登记案　
9,北京市密云区巨各庄镇后焦家坞村晓红村卫生室,密2024050799,未将医疗废物按类别分置于专用容器案
10,北京隆源万鑫商贸有限公司康鑫益民诊所,密2024050512,未对医疗废物进行登记案　
11,北京市密云区穆家峪镇达峪沟村村卫生室,密2024031943,未将医疗废物按类别分置于专用包装物案
12,北京市密云区穆家峪镇达峪沟村村卫生室,京密卫消罚〔2024〕001号,工作人员未按规定严格执行消毒隔离制度案
13,北京市密云区穆家峪镇大石岭村村卫生室,密2024031885,未对医疗废物进行登记案　
14,北京市双文医院管理有限公司北京佳仕爱齿口腔诊所,密2024022028,《放射诊疗许可证》未与《医疗机构执业许可证》同时校验案
15,北京雀跃商贸有限公司乐康园诊所,密2024010868,未经县级卫生行政部门核准，村卫生室、诊所和社区卫生服务站擅自使用抗菌药物开展静脉输注活动案
16,北京康塬康乐商贸有限公司百合园诊所,密2024010491,医疗卫生机构配备护士的数量低于国务院卫生主管部门规定的护士配备标准案
17,北京满堂红医院管理有限公司满堂红诊所,京密卫医罚〔2024〕007号,"未向卫生行政机关提出开展互联网诊疗活动执业登记申请,通过微信视频方式违规开展中医诊疗活动案"
18,北京月嘉口腔诊所,密2024011289,未将医疗废物按类别分置于专用容器案
19,北京龙华友会科技有限公司阳光友会口腔诊所,密2024011209,未对医疗废物进行登记案
20,北京爱琴海医疗科技有限公司美容诊所,京密卫医罚〔2024〕005号,诊疗活动超出登记或者备案范围案
