北京市平谷区建设工程施工项目中标信息,,
序号,工程名称,中标公示时间
1,平谷新城南环路（洳河东滨河路-平三路）道路工程-监理（一标段）,2020/8/11
2,2020年平谷区住宅小区配建电动自行车充电设施工程-滨河街道,2020/10/21
3,2020北京·平谷世界休闲大会泃洳河生态农业休闲分会场—大兴庄镇休闲农庄联合体基础设施建设项目房建工程,2020/4/30
4,平谷区台城路北延（平谷新城北街—昌金路）道路工程,2020/9/1
5,2018年平谷区金海湖镇中心区城市支路道路工程,2020/8/6
6,2020北京.平谷世界休闲大会丫髻山文化休闲分会场—丫髻山文化休闲园基础设施建设项目（丫髻山文化展示中心）,2020/2/25
7,2020北京·平谷世界休闲大会主会场户外展示区建设工程,2020/6/29
8,平谷区台城路南延（顺平路-东南路）道路工程、管线工程第二标段（K3+420-K4+849.22）,2020/10/13
9,平谷区金海湖人民法庭还建工程（1#人民法庭等2项）,2020/10/21
10,平谷新城南环路（洳河东滨河路-平三路）道路工程（一标段）,2020/8/12
11,平谷区滨河街道2019年老旧小区综合整治项目,2020/9/8
12,2020北京.平谷世界休闲大会丫髻山文化休闲分会场—丫髻山文化休闲园基础设施建设项目（丫髻山文化展示中心）监理,2020/2/12
13,2020北京·平谷世界休闲大会丫髻山文化休闲分会场-大华山桃文化园基础设施建设项目,2020/4/28
14,平谷区台城路南延（顺平路-东南路）道路工程第一标段(K1+620-K3+420),2020/7/9
15,平谷区金海湖镇平蓟路项目（监理）,2020/6/3
16,2020北京·平谷世界休闲大会丫髻山文化休闲分会场-大华山桃文化园基础设施建设项目（监理）,2020/4/26
17,平谷区兴谷街道2019年老旧小区综合整治项目（园丁小区14号楼）,2020/9/7
18,平谷区台城路南延（顺平路-东南路）道路工程第一标段(K1+620-K3+420)（监理）,2020/6/23
19,北京市平谷区刘家店镇生态桥治理工程,2020/5/13
20,马坊工业园区雨水管道应急工程,2020/9/30
21,北京市平谷区金海湖镇PG06-0l00-6014地块R2二类居住用地项目（23#商品住宅楼-41#商品住宅楼、2#地下车库等20项）,2020/9/21
22,北京市平谷区金海湖镇PG06-0100-6014地块R2二类居住用地项目（1#商品住宅楼等45项）（监理）,2020/9/18
23,2018年平谷区金海湖镇中心区城市支路道路工程（监理）,2020/8/6
24,2020北京·平谷世界休闲大会洳河生态农业休闲分会场—大兴庄镇休闲农庄联合体基础设施建设项目（休闲农庄服务中心）等2项（监理）,2020/5/8
25,平谷新城南环路（洳河东滨河路-平三路）道路工程（二标段）,2020/8/13
26,北京市平谷区刘家店镇生态桥治理工程（监理）,2020/5/14
27,北京市平谷区金海湖镇PG06-0l00-6014地块R2二类居住用地项目（1#商品住宅楼-22#商品住宅楼、42#配电室、43#公共服务配套楼、1#地下车库等25项）,2020/9/18
28,平谷区台城路北延（平谷新城北街—昌金路）道路工程（监理）,2020/7/31
29,半导体装备制造基地项目,2020/10/10
30,平谷区台城路南延（顺平路-东南路）道路工程、管线工程第二标段（K3+420-K4+849.22）(监理）,2020/10/12
31,平谷区金海湖镇平蓟路项目,2020/6/2
32,2020年平谷区住宅小区配建电动自行车充电设施工程（平谷镇）,2020/10/16
