序号,单位名称,营业执照注册号,统一社会信用代码,处罚决定文号,违法事实认定依据,处罚依据,处罚决定,处罚机关单位,处罚决定书日期,是否向社会公众披露,备注
1,河北鸿信钢结构工程有限公司,91131128MA0F1G5P6N,91131128MA0F1G5P6N,平环保车罚字﹝2023﹞037号,《中华人民共和国大气污染防治法》第五十一条第一款,《中华人民共和国大气污染防治法》第一百一十四条第一款,处罚款人民币五千元,北京市平谷区生态环境局,2024/1/4,是,
2,河北鸿信钢结构工程有限公司,91131128MA0F1G5P6N,91131128MA0F1G5P6N,平环保车罚字﹝2023﹞038号,《中华人民共和国大气污染防治法》第五十一条第一款,《中华人民共和国大气污染防治法》第一百一十四条第一款,处罚款人民币五千元,北京市平谷区生态环境局,2024/1/4,是,
3,北京智源泽顺再生资源回收技术有限公司,91110117MA04C2XH07,91110117MA04C2XH07,平环保车罚字﹝2023﹞030号,《中华人民共和国大气污染防治法》第五十一条第一款,《中华人民共和国大气污染防治法》第一百一十四条第一款,处罚款人民币五千元,北京市平谷区生态环境局,2024/1/5,是,
4,昆山雷卓机械设备有限公司,91320583MA2207FJ26,91320583MA2207FJ26,平环保车罚字﹝2023﹞031号,《中华人民共和国大气污染防治法》第五十一条第一款,《中华人民共和国大气污染防治法》第一百一十四条第一款,处罚款人民币五千元,北京市平谷区生态环境局,2024/1/5,是,
5,中国石油天然气股份有限公司北京远升加油站,911101173182821000,911101173182821000,平环保监察罚字﹝2023﹞063号,《北京市大气污染防治条例》第七十四条第二款,《中华人民共和国大气污染防治法》第一百零八条第四项，并参照《北京市生态环境行政处罚裁量基准》第三部分表（十二）,处罚款人民币二万元,北京市平谷区生态环境局,2024/1/8,是,
6,河南省新征程防水防腐保温工程有限公司慈溪分公司,91330282MACW51CUXL,91330282MACW51CUXL,平环保车罚字﹝2023﹞034号,《中华人民共和国大气污染防治法》第五十一条第一款,《中华人民共和国大气污染防治法》第一百一十四条第一款,处罚款人民币五千元,北京市平谷区生态环境局,2024/1/18,是,
7,河南省新征程防水防腐保温工程有限公司慈溪分公司,91330282MACW51CUXL,91330282MACW51CUXL,平环保车罚字﹝2023﹞035号,《中华人民共和国大气污染防治法》第五十一条第一款,《中华人民共和国大气污染防治法》第一百一十四条第一款,处罚款人民币五千元,北京市平谷区生态环境局,2024/1/18,是,
8,北京海泰家园物业管理有限公司,91110117766261626T,91110117766261626T,平环保监察罚字﹝2023﹞054号,《北京市大气污染防治条例》第二十条第三款,《北京市大气污染防治条例》第九十一条第一款,处二万元罚款,北京市平谷区生态环境局,2024/1/23,是,
9,北京森淼天成环保科技有限公司,91110108687602189Y,91110108687602189Y,平环保监察罚字﹝2023﹞051号,《中华人民共和国水污染防治法》第十条,《中华人民共和国水污染防治法》第八十三条第一款第二项,处十万元罚款,北京市平谷区生态环境局,2024/1/24,是,
10,大红果（北京）餐饮管理发展有限公司平谷太和东园分公司,91110117MACFEQKC5X,91110117MACFEQKC5X,平环保监察罚字﹝2024﹞017号,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款和《北京市生态环境行政处罚裁量基准》餐饮业经营者违反油烟净化设施使用规定自由裁量权规范中，中型（3≤基准灶头数＜6）类别，不正常使用油烟净化设施，超标排放油烟的（判定）情节的规定,处一万四千元罚款,北京市平谷区生态环境局,2024/5/28,是,
11,北京金鼎广源居餐饮管理有限公司,91110117MA04FYRY5Y,91110117MA04FYRY5Y,平环保监察罚字﹝2024﹞019号,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款和《北京市生态环境行政处罚裁量基准》餐饮业经营者违反油烟净化设施使用规定自由裁量权规范中，中型（3≤基准灶头数＜6）类别，不正常使用油烟净化设施，超标排放油烟的（判定）情节的规定,处一万四千元罚款,北京市平谷区生态环境局,2024/5/28,是,
12,北京红城万福烤鸭店有限公司平谷分公司,91110117MA00ABBF4J,91110117MA00ABBF4J,平环保监察罚字﹝2024﹞028号,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款和《北京市生态环境行政处罚裁量基准》餐饮业经营者违反油烟净化设施使用规定自由裁量权规范中，中型（3≤基准灶头数＜6）类别，不正常使用油烟净化设施，超标排放油烟的（判定）情节的规定,处一万四千元罚款,北京市平谷区生态环境局,2024/5/28,是,
13,北京百奥污水处理有限公司,91110117MA01930K9Q,91110117MA01930K9Q,平环保监察罚字﹝2024﹞022号,《中华人民共和国水污染防治法》第十条,《中华人民共和国水污染防治法》第八十三条第（二）项规定，和自由裁量权《北京市生态环境行政处罚裁量基准》（附件第二部分表（一）备注4.农村污水处理设施超标排放，处罚额度为10万元）的规范,处十万元罚款,北京市平谷区生态环境局,2024/6/14,是,
14,天津市建康建筑安装有限公司,91120222562667624B,91120222562667624B,平环保监察罚字﹝2024﹞033号,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款的规定，结合《北京市生态环境行政处罚裁量基准》第三部分表（十）,处六千元罚款,北京市平谷区生态环境局,2024/7/15,是,
15,北京醇霏鸿远餐饮管理有限公司,91110117MA0204WP8W,91110117MA0204WP8W,平环保监察罚字﹝2024﹞037号,《北京市大气污染防治条例》第五十九条第一款,《北京市大气污染防治条例》第一百零八条第一款的规定和《北京市生态环境行政处罚裁量权基准（2023年版）》基准表第三部分表十的规范,处二万一千元罚款,北京市平谷区生态环境局,2024/7/16,是,
